prompt_id,bucket,generation_seconds,overall_style_score,pitch_similarity,rhythm_similarity,texture_similarity,spectral_similarity,candidate_path,report_path
bmk_reaction_short,reaction_short,64.629,0.4575,0.8917,0.0,0.5532,0.6197,C:\dev\aro-voice-style-lab\outputs\benchmarks\character_b_refpack_ablation\pause_heavy\bmk_reaction_short\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\refpack_ablation\pause_heavy\bmk_reaction_short_report.json
bmk_neutral_declarative,neutral_declarative,15.062,0.5237,0.7334,0.1644,0.8852,0.529,C:\dev\aro-voice-style-lab\outputs\benchmarks\character_b_refpack_ablation\pause_heavy\bmk_neutral_declarative\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\refpack_ablation\pause_heavy\bmk_neutral_declarative_report.json
bmk_question_rising,question_rising,13.016,0.5043,0.9202,0.0484,0.6674,0.6192,C:\dev\aro-voice-style-lab\outputs\benchmarks\character_b_refpack_ablation\pause_heavy\bmk_question_rising\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\refpack_ablation\pause_heavy\bmk_question_rising_report.json
bmk_punchline_pause,punchline_pause,15.225,0.4696,0.8438,0.0609,0.7154,0.471,C:\dev\aro-voice-style-lab\outputs\benchmarks\character_b_refpack_ablation\pause_heavy\bmk_punchline_pause\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\refpack_ablation\pause_heavy\bmk_punchline_pause_report.json
bmk_wandering_sentence,wandering_sentence,26.658,0.4581,0.7668,0.0945,0.6521,0.5143,C:\dev\aro-voice-style-lab\outputs\benchmarks\character_b_refpack_ablation\pause_heavy\bmk_wandering_sentence\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\refpack_ablation\pause_heavy\bmk_wandering_sentence_report.json
bmk_interruption_restart,interruption_restart,15.745,0.4583,0.7501,0.0,0.7618,0.5923,C:\dev\aro-voice-style-lab\outputs\benchmarks\character_b_refpack_ablation\pause_heavy\bmk_interruption_restart\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\refpack_ablation\pause_heavy\bmk_interruption_restart_report.json
bmk_emphasis_heavy,emphasis_heavy,11.921,0.3121,0.3893,0.0805,0.5394,0.3936,C:\dev\aro-voice-style-lab\outputs\benchmarks\character_b_refpack_ablation\pause_heavy\bmk_emphasis_heavy\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\refpack_ablation\pause_heavy\bmk_emphasis_heavy_report.json
bmk_calm_low_energy,calm_low_energy,14.325,0.4841,0.7432,0.2335,0.541,0.5417,C:\dev\aro-voice-style-lab\outputs\benchmarks\character_b_refpack_ablation\pause_heavy\bmk_calm_low_energy\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\refpack_ablation\pause_heavy\bmk_calm_low_energy_report.json
bmk_host_intro,host_intro,18.979,0.6477,0.8843,0.4404,0.783,0.5793,C:\dev\aro-voice-style-lab\outputs\benchmarks\character_b_refpack_ablation\pause_heavy\bmk_host_intro\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\refpack_ablation\pause_heavy\bmk_host_intro_report.json
bmk_counting_list,counting_list,22.358,0.3886,0.6734,0.0,0.6835,0.418,C:\dev\aro-voice-style-lab\outputs\benchmarks\character_b_refpack_ablation\pause_heavy\bmk_counting_list\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\refpack_ablation\pause_heavy\bmk_counting_list_report.json
bmk_clause_heavy,clause_heavy,29.326,0.4949,0.8011,0.2261,0.6115,0.4661,C:\dev\aro-voice-style-lab\outputs\benchmarks\character_b_refpack_ablation\pause_heavy\bmk_clause_heavy\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\refpack_ablation\pause_heavy\bmk_clause_heavy_report.json
bmk_clipped_question,clipped_question,9.4,0.3912,0.4977,0.2375,0.6361,0.2821,C:\dev\aro-voice-style-lab\outputs\benchmarks\character_b_refpack_ablation\pause_heavy\bmk_clipped_question\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\refpack_ablation\pause_heavy\bmk_clipped_question_report.json
