prompt_id,bucket,generation_seconds,overall_style_score,pitch_similarity,rhythm_similarity,texture_similarity,spectral_similarity,candidate_path,report_path
bmk_reaction_short,reaction_short,60.02,0.5044,0.7677,0.2001,0.7201,0.4921,C:\dev\aro-voice-style-lab\outputs\benchmarks\character_b_refpack_ablation\rambling\bmk_reaction_short\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\refpack_ablation\rambling\bmk_reaction_short_report.json
bmk_neutral_declarative,neutral_declarative,15.838,0.4618,0.5476,0.0842,0.8781,0.5991,C:\dev\aro-voice-style-lab\outputs\benchmarks\character_b_refpack_ablation\rambling\bmk_neutral_declarative\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\refpack_ablation\rambling\bmk_neutral_declarative_report.json
bmk_question_rising,question_rising,11.843,0.561,0.8145,0.1805,0.8266,0.6444,C:\dev\aro-voice-style-lab\outputs\benchmarks\character_b_refpack_ablation\rambling\bmk_question_rising\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\refpack_ablation\rambling\bmk_question_rising_report.json
bmk_punchline_pause,punchline_pause,15.671,0.5352,0.8532,0.1726,0.8178,0.4897,C:\dev\aro-voice-style-lab\outputs\benchmarks\character_b_refpack_ablation\rambling\bmk_punchline_pause\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\refpack_ablation\rambling\bmk_punchline_pause_report.json
bmk_wandering_sentence,wandering_sentence,25.156,0.5596,0.8241,0.1799,0.8547,0.5985,C:\dev\aro-voice-style-lab\outputs\benchmarks\character_b_refpack_ablation\rambling\bmk_wandering_sentence\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\refpack_ablation\rambling\bmk_wandering_sentence_report.json
bmk_interruption_restart,interruption_restart,12.997,0.4438,0.752,0.0,0.7114,0.5674,C:\dev\aro-voice-style-lab\outputs\benchmarks\character_b_refpack_ablation\rambling\bmk_interruption_restart\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\refpack_ablation\rambling\bmk_interruption_restart_report.json
bmk_emphasis_heavy,emphasis_heavy,8.087,0.4772,0.6523,0.2261,0.8445,0.3303,C:\dev\aro-voice-style-lab\outputs\benchmarks\character_b_refpack_ablation\rambling\bmk_emphasis_heavy\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\refpack_ablation\rambling\bmk_emphasis_heavy_report.json
bmk_calm_low_energy,calm_low_energy,11.358,0.5369,0.7968,0.1302,0.8456,0.6152,C:\dev\aro-voice-style-lab\outputs\benchmarks\character_b_refpack_ablation\rambling\bmk_calm_low_energy\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\refpack_ablation\rambling\bmk_calm_low_energy_report.json
bmk_host_intro,host_intro,17.066,0.4871,0.7888,0.2071,0.6871,0.4,C:\dev\aro-voice-style-lab\outputs\benchmarks\character_b_refpack_ablation\rambling\bmk_host_intro\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\refpack_ablation\rambling\bmk_host_intro_report.json
bmk_counting_list,counting_list,16.965,0.5663,0.7693,0.2697,0.7858,0.6122,C:\dev\aro-voice-style-lab\outputs\benchmarks\character_b_refpack_ablation\rambling\bmk_counting_list\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\refpack_ablation\rambling\bmk_counting_list_report.json
bmk_clause_heavy,clause_heavy,23.166,0.4903,0.7429,0.3063,0.7738,0.2129,C:\dev\aro-voice-style-lab\outputs\benchmarks\character_b_refpack_ablation\rambling\bmk_clause_heavy\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\refpack_ablation\rambling\bmk_clause_heavy_report.json
bmk_clipped_question,clipped_question,11.511,0.3409,0.6397,0.0,0.8825,0.0223,C:\dev\aro-voice-style-lab\outputs\benchmarks\character_b_refpack_ablation\rambling\bmk_clipped_question\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\refpack_ablation\rambling\bmk_clipped_question_report.json
