prompt_id,bucket,generation_seconds,overall_style_score,pitch_similarity,rhythm_similarity,texture_similarity,spectral_similarity,candidate_path,report_path
bmk_reaction_short,reaction_short,101.852,0.4208,0.6459,0.0481,0.7689,0.4433,C:\dev\aro-voice-style-lab\outputs\benchmarks\character_b_refpack_ablation\staccato\bmk_reaction_short\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\refpack_ablation\staccato\bmk_reaction_short_report.json
bmk_neutral_declarative,neutral_declarative,23.904,0.5837,0.7409,0.3512,0.864,0.5138,C:\dev\aro-voice-style-lab\outputs\benchmarks\character_b_refpack_ablation\staccato\bmk_neutral_declarative\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\refpack_ablation\staccato\bmk_neutral_declarative_report.json
bmk_question_rising,question_rising,15.506,0.5504,0.8397,0.2208,0.7025,0.6132,C:\dev\aro-voice-style-lab\outputs\benchmarks\character_b_refpack_ablation\staccato\bmk_question_rising\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\refpack_ablation\staccato\bmk_question_rising_report.json
bmk_punchline_pause,punchline_pause,18.197,0.5269,0.8631,0.1987,0.6487,0.559,C:\dev\aro-voice-style-lab\outputs\benchmarks\character_b_refpack_ablation\staccato\bmk_punchline_pause\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\refpack_ablation\staccato\bmk_punchline_pause_report.json
bmk_wandering_sentence,wandering_sentence,36.793,0.5274,0.6918,0.2462,0.7771,0.5642,C:\dev\aro-voice-style-lab\outputs\benchmarks\character_b_refpack_ablation\staccato\bmk_wandering_sentence\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\refpack_ablation\staccato\bmk_wandering_sentence_report.json
bmk_interruption_restart,interruption_restart,17.64,0.476,0.7977,0.0271,0.8074,0.528,C:\dev\aro-voice-style-lab\outputs\benchmarks\character_b_refpack_ablation\staccato\bmk_interruption_restart\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\refpack_ablation\staccato\bmk_interruption_restart_report.json
bmk_emphasis_heavy,emphasis_heavy,15.014,0.3911,0.681,0.0,0.8035,0.3007,C:\dev\aro-voice-style-lab\outputs\benchmarks\character_b_refpack_ablation\staccato\bmk_emphasis_heavy\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\refpack_ablation\staccato\bmk_emphasis_heavy_report.json
bmk_calm_low_energy,calm_low_energy,14.205,0.4265,0.7409,0.0285,0.7734,0.3832,C:\dev\aro-voice-style-lab\outputs\benchmarks\character_b_refpack_ablation\staccato\bmk_calm_low_energy\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\refpack_ablation\staccato\bmk_calm_low_energy_report.json
bmk_host_intro,host_intro,19.064,0.5237,0.7841,0.2386,0.6861,0.5348,C:\dev\aro-voice-style-lab\outputs\benchmarks\character_b_refpack_ablation\staccato\bmk_host_intro\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\refpack_ablation\staccato\bmk_host_intro_report.json
bmk_counting_list,counting_list,16.004,0.5755,0.8482,0.1943,0.8567,0.6205,C:\dev\aro-voice-style-lab\outputs\benchmarks\character_b_refpack_ablation\staccato\bmk_counting_list\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\refpack_ablation\staccato\bmk_counting_list_report.json
bmk_clause_heavy,clause_heavy,23.776,0.5106,0.7998,0.165,0.7215,0.5429,C:\dev\aro-voice-style-lab\outputs\benchmarks\character_b_refpack_ablation\staccato\bmk_clause_heavy\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\refpack_ablation\staccato\bmk_clause_heavy_report.json
bmk_clipped_question,clipped_question,7.439,0.4405,0.8417,0.0,0.8911,0.2591,C:\dev\aro-voice-style-lab\outputs\benchmarks\character_b_refpack_ablation\staccato\bmk_clipped_question\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\refpack_ablation\staccato\bmk_clipped_question_report.json
