prompt_id,bucket,prompt_variant,ref_pack,generation_seconds,overall_style_score,pitch_similarity,rhythm_similarity,texture_similarity,spectral_similarity,candidate_path,report_path
bmk_reaction_short,reaction_short,base,rambling,9.387,0.3728,0.5658,0.1682,0.6136,0.2487,C:\dev\aro-voice-style-lab\outputs\routed_policy\character_b_control_worker\bmk_reaction_short\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\routed_policy\character_b_control_worker\bmk_reaction_short_report.json
bmk_neutral_declarative,neutral_declarative,base,staccato,13.172,0.4857,0.6377,0.1885,0.8351,0.4665,C:\dev\aro-voice-style-lab\outputs\routed_policy\character_b_control_worker\bmk_neutral_declarative\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\routed_policy\character_b_control_worker\bmk_neutral_declarative_report.json
bmk_question_rising,question_rising,base,staccato,9.786,0.4958,0.6369,0.1143,0.8228,0.6601,C:\dev\aro-voice-style-lab\outputs\routed_policy\character_b_control_worker\bmk_question_rising\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\routed_policy\character_b_control_worker\bmk_question_rising_report.json
bmk_punchline_pause,punchline_pause,base,staccato,14.1,0.5206,0.7984,0.2246,0.7645,0.4474,C:\dev\aro-voice-style-lab\outputs\routed_policy\character_b_control_worker\bmk_punchline_pause\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\routed_policy\character_b_control_worker\bmk_punchline_pause_report.json
bmk_wandering_sentence,wandering_sentence,base,staccato,28.785,0.4544,0.7625,0.1305,0.6243,0.4663,C:\dev\aro-voice-style-lab\outputs\routed_policy\character_b_control_worker\bmk_wandering_sentence\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\routed_policy\character_b_control_worker\bmk_wandering_sentence_report.json
bmk_interruption_restart,interruption_restart,base,staccato,11.55,0.5167,0.7238,0.1327,0.8082,0.6384,C:\dev\aro-voice-style-lab\outputs\routed_policy\character_b_control_worker\bmk_interruption_restart\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\routed_policy\character_b_control_worker\bmk_interruption_restart_report.json
bmk_emphasis_heavy,emphasis_heavy,base,rambling,8.184,0.4795,0.7732,0.1337,0.7841,0.4129,C:\dev\aro-voice-style-lab\outputs\routed_policy\character_b_control_worker\bmk_emphasis_heavy\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\routed_policy\character_b_control_worker\bmk_emphasis_heavy_report.json
bmk_calm_low_energy,calm_low_energy,base,pause_heavy,10.901,0.4341,0.6727,0.0511,0.6402,0.6001,C:\dev\aro-voice-style-lab\outputs\routed_policy\character_b_control_worker\bmk_calm_low_energy\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\routed_policy\character_b_control_worker\bmk_calm_low_energy_report.json
bmk_host_intro,host_intro,base,pause_heavy,20.202,0.5207,0.8312,0.2034,0.6978,0.5107,C:\dev\aro-voice-style-lab\outputs\routed_policy\character_b_control_worker\bmk_host_intro\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\routed_policy\character_b_control_worker\bmk_host_intro_report.json
bmk_counting_list,counting_list,base,rambling,14.758,0.4523,0.843,0.0345,0.7926,0.3549,C:\dev\aro-voice-style-lab\outputs\routed_policy\character_b_control_worker\bmk_counting_list\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\routed_policy\character_b_control_worker\bmk_counting_list_report.json
bmk_clause_heavy,clause_heavy,base,rambling,20.727,0.5087,0.8233,0.2334,0.6929,0.4133,C:\dev\aro-voice-style-lab\outputs\routed_policy\character_b_control_worker\bmk_clause_heavy\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\routed_policy\character_b_control_worker\bmk_clause_heavy_report.json
bmk_clipped_question,clipped_question,base,pause_heavy,6.446,0.4232,0.8253,0.0,0.8152,0.2691,C:\dev\aro-voice-style-lab\outputs\routed_policy\character_b_control_worker\bmk_clipped_question\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\routed_policy\character_b_control_worker\bmk_clipped_question_report.json
