prompt_id,bucket,prompt_variant,ref_pack,generation_seconds,overall_style_score,pitch_similarity,rhythm_similarity,texture_similarity,spectral_similarity,candidate_path,report_path
bmk_reaction_short,reaction_short,base,rambling,50.169,0.2651,0.4451,0.0,0.5147,0.2545,C:\dev\aro-voice-style-lab\outputs\routed_policy\character_b_local\bmk_reaction_short\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\routed_policy\character_b_local\bmk_reaction_short_report.json
bmk_neutral_declarative,neutral_declarative,base,staccato,12.329,0.4252,0.5317,0.1181,0.7787,0.4762,C:\dev\aro-voice-style-lab\outputs\routed_policy\character_b_local\bmk_neutral_declarative\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\routed_policy\character_b_local\bmk_neutral_declarative_report.json
bmk_question_rising,question_rising,base,staccato,9.986,0.4715,0.6324,0.1148,0.7657,0.6003,C:\dev\aro-voice-style-lab\outputs\routed_policy\character_b_local\bmk_question_rising\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\routed_policy\character_b_local\bmk_question_rising_report.json
bmk_punchline_pause,punchline_pause,base,staccato,11.14,0.5286,0.7892,0.2206,0.713,0.5577,C:\dev\aro-voice-style-lab\outputs\routed_policy\character_b_local\bmk_punchline_pause\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\routed_policy\character_b_local\bmk_punchline_pause_report.json
bmk_wandering_sentence,wandering_sentence,base,staccato,19.81,0.5254,0.767,0.2498,0.7186,0.5125,C:\dev\aro-voice-style-lab\outputs\routed_policy\character_b_local\bmk_wandering_sentence\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\routed_policy\character_b_local\bmk_wandering_sentence_report.json
bmk_interruption_restart,interruption_restart,base,staccato,9.475,0.5156,0.8566,0.0573,0.8183,0.5886,C:\dev\aro-voice-style-lab\outputs\routed_policy\character_b_local\bmk_interruption_restart\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\routed_policy\character_b_local\bmk_interruption_restart_report.json
bmk_emphasis_heavy,emphasis_heavy,base,rambling,7.528,0.4677,0.6074,0.2261,0.8439,0.3398,C:\dev\aro-voice-style-lab\outputs\routed_policy\character_b_local\bmk_emphasis_heavy\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\routed_policy\character_b_local\bmk_emphasis_heavy_report.json
bmk_calm_low_energy,calm_low_energy,base,pause_heavy,12.787,0.4203,0.6111,0.0474,0.7104,0.5441,C:\dev\aro-voice-style-lab\outputs\routed_policy\character_b_local\bmk_calm_low_energy\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\routed_policy\character_b_local\bmk_calm_low_energy_report.json
bmk_host_intro,host_intro,base,pause_heavy,14.383,0.5381,0.7498,0.1846,0.8034,0.6271,C:\dev\aro-voice-style-lab\outputs\routed_policy\character_b_local\bmk_host_intro\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\routed_policy\character_b_local\bmk_host_intro_report.json
bmk_counting_list,counting_list,base,rambling,15.119,0.5029,0.7488,0.2562,0.7502,0.3798,C:\dev\aro-voice-style-lab\outputs\routed_policy\character_b_local\bmk_counting_list\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\routed_policy\character_b_local\bmk_counting_list_report.json
bmk_clause_heavy,clause_heavy,base,rambling,21.87,0.5286,0.7737,0.433,0.6367,0.2817,C:\dev\aro-voice-style-lab\outputs\routed_policy\character_b_local\bmk_clause_heavy\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\routed_policy\character_b_local\bmk_clause_heavy_report.json
bmk_clipped_question,clipped_question,base,pause_heavy,9.628,0.3591,0.593,0.0,0.6885,0.3658,C:\dev\aro-voice-style-lab\outputs\routed_policy\character_b_local\bmk_clipped_question\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\routed_policy\character_b_local\bmk_clipped_question_report.json
