prompt_id,bucket,prompt_variant,ref_pack,generation_seconds,overall_style_score,pitch_similarity,rhythm_similarity,texture_similarity,spectral_similarity,candidate_path,report_path
bmk_reaction_short,reaction_short,base,rambling,9.139,0.4252,0.7967,0.0,0.6475,0.4825,C:\dev\aro-voice-style-lab\outputs\routed_policy\character_b_worker\bmk_reaction_short\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\routed_policy\character_b_worker\bmk_reaction_short_report.json
bmk_neutral_declarative,neutral_declarative,base,staccato,10.087,0.5313,0.8032,0.1575,0.9523,0.4247,C:\dev\aro-voice-style-lab\outputs\routed_policy\character_b_worker\bmk_neutral_declarative\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\routed_policy\character_b_worker\bmk_neutral_declarative_report.json
bmk_question_rising,question_rising,base,staccato,8.974,0.5617,0.8287,0.2256,0.7496,0.6285,C:\dev\aro-voice-style-lab\outputs\routed_policy\character_b_worker\bmk_question_rising\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\routed_policy\character_b_worker\bmk_question_rising_report.json
bmk_punchline_pause,punchline_pause,base,staccato,12.323,0.5186,0.8572,0.1262,0.6715,0.6289,C:\dev\aro-voice-style-lab\outputs\routed_policy\character_b_worker\bmk_punchline_pause\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\routed_policy\character_b_worker\bmk_punchline_pause_report.json
bmk_wandering_sentence,wandering_sentence,base,staccato,17.332,0.5382,0.7868,0.2571,0.7644,0.4931,C:\dev\aro-voice-style-lab\outputs\routed_policy\character_b_worker\bmk_wandering_sentence\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\routed_policy\character_b_worker\bmk_wandering_sentence_report.json
bmk_interruption_restart,interruption_restart,base,staccato,10.14,0.4506,0.7645,0.1977,0.6773,0.2739,C:\dev\aro-voice-style-lab\outputs\routed_policy\character_b_worker\bmk_interruption_restart\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\routed_policy\character_b_worker\bmk_interruption_restart_report.json
bmk_emphasis_heavy,emphasis_heavy,base,rambling,8.044,0.5044,0.613,0.3416,0.7507,0.4074,C:\dev\aro-voice-style-lab\outputs\routed_policy\character_b_worker\bmk_emphasis_heavy\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\routed_policy\character_b_worker\bmk_emphasis_heavy_report.json
bmk_calm_low_energy,calm_low_energy,base,pause_heavy,15.073,0.5078,0.6394,0.1508,0.8418,0.6342,C:\dev\aro-voice-style-lab\outputs\routed_policy\character_b_worker\bmk_calm_low_energy\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\routed_policy\character_b_worker\bmk_calm_low_energy_report.json
bmk_host_intro,host_intro,base,pause_heavy,17.628,0.5913,0.9108,0.2141,0.81,0.6332,C:\dev\aro-voice-style-lab\outputs\routed_policy\character_b_worker\bmk_host_intro\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\routed_policy\character_b_worker\bmk_host_intro_report.json
bmk_counting_list,counting_list,base,rambling,21.107,0.4978,0.6348,0.3545,0.7665,0.3089,C:\dev\aro-voice-style-lab\outputs\routed_policy\character_b_worker\bmk_counting_list\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\routed_policy\character_b_worker\bmk_counting_list_report.json
bmk_clause_heavy,clause_heavy,base,rambling,24.619,0.4715,0.7078,0.2458,0.708,0.3345,C:\dev\aro-voice-style-lab\outputs\routed_policy\character_b_worker\bmk_clause_heavy\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\routed_policy\character_b_worker\bmk_clause_heavy_report.json
bmk_clipped_question,clipped_question,base,pause_heavy,11.45,0.3154,0.4982,0.0,0.8607,0.0935,C:\dev\aro-voice-style-lab\outputs\routed_policy\character_b_worker\bmk_clipped_question\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\routed_policy\character_b_worker\bmk_clipped_question_report.json
