prompt_id,bucket,prompt_variant,ref_pack,generation_seconds,overall_style_score,pitch_similarity,rhythm_similarity,texture_similarity,spectral_similarity,candidate_path,report_path
bmk_reaction_short,reaction_short,base,clipped_low_latency,7.177,0.4332,0.7236,0.1547,0.6143,0.3763,C:\dev\aro-voice-style-lab\outputs\routed_policy\character_b_worker_candidate\bmk_reaction_short\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\routed_policy\character_b_worker_candidate\bmk_reaction_short_report.json
bmk_neutral_declarative,neutral_declarative,base,staccato,9.846,0.4305,0.5242,0.0458,0.8957,0.5215,C:\dev\aro-voice-style-lab\outputs\routed_policy\character_b_worker_candidate\bmk_neutral_declarative\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\routed_policy\character_b_worker_candidate\bmk_neutral_declarative_report.json
bmk_question_rising,question_rising,base,staccato,6.677,0.4219,0.4488,0.2149,0.6594,0.5132,C:\dev\aro-voice-style-lab\outputs\routed_policy\character_b_worker_candidate\bmk_question_rising\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\routed_policy\character_b_worker_candidate\bmk_question_rising_report.json
bmk_punchline_pause,punchline_pause,base,staccato,8.892,0.507,0.8764,0.145,0.6581,0.5277,C:\dev\aro-voice-style-lab\outputs\routed_policy\character_b_worker_candidate\bmk_punchline_pause\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\routed_policy\character_b_worker_candidate\bmk_punchline_pause_report.json
bmk_wandering_sentence,wandering_sentence,base,staccato,17.899,0.5067,0.7582,0.1123,0.8066,0.5826,C:\dev\aro-voice-style-lab\outputs\routed_policy\character_b_worker_candidate\bmk_wandering_sentence\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\routed_policy\character_b_worker_candidate\bmk_wandering_sentence_report.json
bmk_interruption_restart,interruption_restart,base,staccato,8.374,0.494,0.8327,0.0231,0.7248,0.6637,C:\dev\aro-voice-style-lab\outputs\routed_policy\character_b_worker_candidate\bmk_interruption_restart\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\routed_policy\character_b_worker_candidate\bmk_interruption_restart_report.json
bmk_emphasis_heavy,emphasis_heavy,base,rambling,6.77,0.4171,0.5645,0.123,0.7663,0.3983,C:\dev\aro-voice-style-lab\outputs\routed_policy\character_b_worker_candidate\bmk_emphasis_heavy\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\routed_policy\character_b_worker_candidate\bmk_emphasis_heavy_report.json
bmk_calm_low_energy,calm_low_energy,base,rambling,9.275,0.4271,0.7828,0.1482,0.6011,0.2964,C:\dev\aro-voice-style-lab\outputs\routed_policy\character_b_worker_candidate\bmk_calm_low_energy\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\routed_policy\character_b_worker_candidate\bmk_calm_low_energy_report.json
bmk_host_intro,host_intro,base,pause_heavy,10.778,0.4731,0.7503,0.1774,0.5348,0.5825,C:\dev\aro-voice-style-lab\outputs\routed_policy\character_b_worker_candidate\bmk_host_intro\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\routed_policy\character_b_worker_candidate\bmk_host_intro_report.json
bmk_counting_list,counting_list,base,rambling,13.866,0.3699,0.3309,0.1481,0.8117,0.3648,C:\dev\aro-voice-style-lab\outputs\routed_policy\character_b_worker_candidate\bmk_counting_list\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\routed_policy\character_b_worker_candidate\bmk_counting_list_report.json
bmk_clause_heavy,clause_heavy,base,rambling,20.047,0.4087,0.6462,0.1344,0.7005,0.2999,C:\dev\aro-voice-style-lab\outputs\routed_policy\character_b_worker_candidate\bmk_clause_heavy\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\routed_policy\character_b_worker_candidate\bmk_clause_heavy_report.json
bmk_clipped_question,clipped_question,hesitant_v1,clipped_low_latency,6.74,0.4841,0.749,0.0,0.8676,0.6168,C:\dev\aro-voice-style-lab\outputs\routed_policy\character_b_worker_candidate\bmk_clipped_question\neutral_variant_01.wav,C:\dev\aro-voice-style-lab\reports\quality\routed_policy\character_b_worker_candidate\bmk_clipped_question_report.json
